"DATE,TIME,ENB_AGG,ENODEB,NOC_CLUSTER,ACC_RATE,ACC_S1_RATE,AVAILABILITY_CELL_ROP,PLMN_0_TRAFFIC_GB,PLMN_1_TRAFFIC_GB,PLMN_2_TRAFFIC_GB,RETAINABILITY,UNAVAILTIME,USER_TRAFFIC_VOLTE,VOLTE_RET,VOLTE_ERAB_ABNORMAL,ACC_VOLTE"
"2024-02-16,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.68,100,100,1.6135349865,0.0002,0.2165,99.99,0,0.32,100,0,100"
"2024-02-16,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,0.5525825538,0.0005,0.1832,99.98,0,0.02,100,0,100"
"2024-02-16,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.67,100,100,0.6873505189,0.0003,0.0715,99.98,0,0,100,0,100"
"2024-02-16,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.76,100,100,0.9122081093,0,0.1269,100,0,0.2,100,0,100"
"2024-02-16,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.75,100,100,0.8028615262,0,0.0495,99.98,0,0,100,0,0"
"2024-02-16,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.7,100,100,0.6517069407,0.0003,0.0812,99.95,0,0.07,99.91,2,100"
"2024-02-16,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.4,100,100,1.6914252188,0.0002,0.5455,99.95,0,0.08,100,0,99"
"2024-02-16,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.81,99.99,100,6.0795424502,0.0292,2.6655,99.97,0,0.88,100,0,99.99"
"2024-02-16,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,6.8567162377,0.0402,2.9398,99.99,0,1.61,100,0,100"
"2024-02-16,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,99.98,100,3.8700094446,0.019,2.6426,99.98,0,3.06,100,0,98.9802"
"2024-02-16,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.81,99.94,100,6.6057657818,0.0355,2.4877,99.98,0,2.2,100,0,99.94"
"2024-02-16,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,6.9774519645,0.018,2.7787,99.97,0,3.84,100,0,100"
"2024-02-16,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,99.99,100,6.5651303154,0.0681,2.7492,99.97,0,4.03,99.99,2,99.99"
